"Notes","Residence County","Residence County Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Blaine County, MT","30005","Female","F","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Female","F","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Female","F","5-9 years","5-9",0,1394,0.0,0.0,0.0
,"Blaine County, MT","30005","Female","F","10-14 years","10-14",0,1402,0.0,0.0,0.0
,"Blaine County, MT","30005","Female","F","15-19 years","15-19",Suppressed,1373,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Female","F","20-24 years","20-24",Suppressed,922,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Female","F","25-29 years","25-29",Suppressed,916,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Female","F","30-34 years","30-34",Suppressed,991,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Female","F","35-39 years","35-39",Suppressed,1022,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Female","F","40-44 years","40-44",Suppressed,930,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Female","F","45-49 years","45-49",Suppressed,780,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Female","F","50-54 years","50-54",Suppressed,804,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Female","F","55-59 years","55-59",Suppressed,970,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Female","F","60-64 years ","60-64",18,1103,1631.9,967.2,2579.1
,"Blaine County, MT","30005","Female","F","65-69 years","65-69",16,870,1839.1,1051.2,2986.6
,"Blaine County, MT","30005","Female","F","70-74 years","70-74",10,821,1218.0,584.1,2240.0
,"Blaine County, MT","30005","Female","F","75-79 years","75-79",17,588,2891.2,1684.2,4629.0
,"Blaine County, MT","30005","Female","F","80-84 years","80-84",18,383,4699.7,2785.3,7427.6
,"Blaine County, MT","30005","Female","F","85-89 years","85-89",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Female","F","90-94 years","90-94",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Female","F","95-99 years","95-99",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Female","F","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Blaine County, MT","30005","Female","F",,,186,16896,1100.9,942.6,1259.1
,"Blaine County, MT","30005","Male","M","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Male","M","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Male","M","5-9 years","5-9",0,1444,0.0,0.0,0.0
,"Blaine County, MT","30005","Male","M","10-14 years","10-14",Suppressed,1535,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Male","M","15-19 years","15-19",Suppressed,1389,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Male","M","20-24 years","20-24",Suppressed,1064,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Male","M","25-29 years","25-29",Suppressed,1039,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Male","M","30-34 years","30-34",Suppressed,1161,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Male","M","35-39 years","35-39",10,1018,982.3,471.1,1806.5
,"Blaine County, MT","30005","Male","M","40-44 years","40-44",Suppressed,1088,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Male","M","45-49 years","45-49",10,909,1100.1,527.5,2023.1
,"Blaine County, MT","30005","Male","M","50-54 years","50-54",Suppressed,780,Suppressed,Suppressed,Suppressed
,"Blaine County, MT","30005","Male","M","55-59 years","55-59",18,939,1916.9,1136.1,3029.6
,"Blaine County, MT","30005","Male","M","60-64 years ","60-64",20,1190,1680.7,1026.6,2595.7
,"Blaine County, MT","30005","Male","M","65-69 years","65-69",22,923,2383.5,1493.7,3608.7
,"Blaine County, MT","30005","Male","M","70-74 years","70-74",27,726,3719.0,2450.9,5411.0
,"Blaine County, MT","30005","Male","M","75-79 years","75-79",24,475,5052.6,3237.3,7517.9
,"Blaine County, MT","30005","Male","M","80-84 years","80-84",14,319,4388.7,2399.4,7363.5
,"Blaine County, MT","30005","Male","M","85-89 years","85-89",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Male","M","90-94 years","90-94",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Male","M","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Male","M","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Blaine County, MT","30005","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Blaine County, MT","30005","Male","M",,,221,17390,1270.8,1103.3,1438.4
"Total","Blaine County, MT","30005",,,,,407,34286,1187.1,1071.7,1302.4
,"Broadwater County, MT","30007","Female","F","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Female","F","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Female","F","5-9 years","5-9",0,1034,0.0,0.0,0.0
,"Broadwater County, MT","30007","Female","F","10-14 years","10-14",Suppressed,1028,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Female","F","15-19 years","15-19",0,946,0.0,0.0,0.0
,"Broadwater County, MT","30007","Female","F","20-24 years","20-24",0,757,0.0,0.0,0.0
,"Broadwater County, MT","30007","Female","F","25-29 years","25-29",Suppressed,1003,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Female","F","30-34 years","30-34",Suppressed,1033,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Female","F","35-39 years","35-39",Suppressed,1062,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Female","F","40-44 years","40-44",0,1089,0.0,0.0,0.0
,"Broadwater County, MT","30007","Female","F","45-49 years","45-49",0,976,0.0,0.0,0.0
,"Broadwater County, MT","30007","Female","F","50-54 years","50-54",Suppressed,1192,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Female","F","55-59 years","55-59",Suppressed,1360,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Female","F","60-64 years ","60-64",15,1537,975.9,546.2,1609.6
,"Broadwater County, MT","30007","Female","F","65-69 years","65-69",13,1316,987.8,526.0,1689.2
,"Broadwater County, MT","30007","Female","F","70-74 years","70-74",14,1211,1156.1,632.0,1939.7
,"Broadwater County, MT","30007","Female","F","75-79 years","75-79",25,889,2812.1,1819.9,4151.3
